Country,FirstPeakHeight,Maximum,DayOfFirstPeak,DayOfMaximum,DayOfFirstCase,TotalCases,MaxOverTotal,DaysFromFirstCaseToFirstPeak,DaysFromFirstCaseToMax,SecondPeak
Central African Republic,-0.28938576,-0.287592737,0.853659986,0.635742713,0.617887043,-0.235713591,-0.214833665,0.548396309,0.330040591,0
Chad,-0.310392341,-0.30751779,-0.049972662,-0.239575269,0.833647502,-0.247170417,0.334704799,-0.503106848,-0.678014752,0
Channel Islands,-0.316078333,-0.312911038,-0.953605311,-1.114893252,0.34818647,-0.248484109,0.107264101,-1.174900531,-1.322050109,0
Chile,5.390762322,5.10011174,1.107806669,0.881925895,-0.029394332,0.945434228,0.987590962,1.161773151,0.918072875,0
China,2.067142043,1.947608742,-2.422008365,-2.537284973,-2.186998917,0.125180896,1.732111514,-1.320942636,-1.462057796,0
Colombia,0.526554095,0.486338285,1.22076075,0.991340643,0.132426012,0.127254206,-0.205167051,1.190981572,0.946074412,0
Comoros,-0.316552166,-0.313360475,0.373605142,0.170730035,3.099132317,-0.249820143,1.431909238,-1.291734215,-1.434056259,0
Congo (Brazzaville),-0.29128109,-0.289390486,1.24899927,1.01869433,0.617887043,-0.246178445,1.863845554,0.957314204,0.722062114,0
Congo (Kinshasa),-0.292228756,-0.29028936,1.333714831,1.100755391,0.402126585,-0.221142331,-0.771609172,1.161773151,0.918072875,0
Costa Rica,-0.317657776,-0.294633921,-0.84065123,1.100755391,0.132426012,-0.237724344,-0.319228802,-0.941233163,1.058080561,1
Cote d'Ivoire,-0.255585696,-0.255532876,1.164283709,0.936633269,0.402126585,-0.211070691,-0.463500903,0.986522625,0.750063651,0
Croatia,-0.308339067,-0.305570228,-1.066559392,-1.224308,-0.406975135,-0.239310605,-0.655088891,-0.882816321,-1.042034736,1
Cuba,-0.311813839,-0.308866102,-0.191165264,-0.376343704,0.4560667,-0.240624298,-0.735543427,-0.444690005,-0.622011677,1
Cyprus,-0.314340947,-0.311263101,-1.066559392,-1.224308,0.294246356,-0.246594001,-0.292225808,-1.262525794,-1.406054721,0
Czechia,-0.263324963,-0.262873685,-0.981843831,-1.142246939,-0.137274561,-0.200552217,-0.702814062,-0.941233163,-1.098037811,1
Denmark,-0.261903465,-0.261525374,-0.89712827,-1.060185878,-0.299094905,-0.194399311,-0.752055874,-0.765982637,-0.930028587,0
Djibouti,-0.298862413,-0.278004741,-0.642981588,0.38955953,0.779707387,-0.230289025,-0.25961965,-1.087275268,-0.005977856,1
Dominican Republic,-0.181509856,-0.185270846,1.22076075,0.991340643,-0.137274561,-0.114219403,-0.775536427,1.337023677,1.086082099,0
Ecuador,1.498542841,1.408283989,-0.417073426,-0.5951732,-0.137274561,0.006729648,2.068965942,-0.357064742,-0.538007065,0
Egypt,-0.043308661,-0.054184968,1.164283709,0.936633269,-1.000316396,0.034594221,-0.802357029,1.745941571,1.478103621,0
El Salvador,-0.290333425,-0.288491611,1.390191871,1.155462765,0.833647502,-0.225445344,-0.653704326,0.986522625,0.750063651,0
Equatorial Guinea,-0.26695768,-0.266319371,1.079568148,0.854572209,0.617887043,-0.242094382,1.717765785,0.782063678,0.55405289,0
Eritrea,-0.322396102,-0.315308036,-1.038320872,0.799864835,0.941527731,-0.250182079,1.440894798,-1.583818425,0.330040591,1
Estonia,-0.302337186,-0.299877356,-1.235990513,-1.388430121,-0.299094905,-0.242161407,-0.140139811,-1.116483689,-1.266047035,0
Eswatini,-0.318763385,-0.312311788,-0.049972662,0.717803774,0.563946929,-0.247706618,-0.123733332,-0.357064742,0.442046741,1
Ethiopia,-0.260481967,-0.260177062,1.192522229,0.963986956,0.510006814,-0.226146873,-0.070759912,0.957314204,0.722062114,0
Faroe Islands,-0.318921329,-0.315607661,-1.490137196,-1.634613304,0.024545783,-0.250199952,1.320464951,-1.554610004,-1.686070094,0
Finland,-0.281330604,-0.279952303,-0.981843831,-1.142246939,-1.86335823,-0.218872414,-0.646614964,-0.00656369,-0.201988617,0
France,3.916195059,3.701462879,-0.755935669,-0.923417443,-2.133058803,0.64301245,0.97164815,0.373145783,0.162031368,0
French Guiana,-0.279593218,-0.278304366,1.22076075,0.991340643,0.186366126,-0.235570604,0.074117902,1.161773151,0.918072875,0
Gabon,-0.233473505,-0.234559136,1.051329628,0.827218522,0.563946929,-0.227759944,0.559314798,0.782063678,0.55405289,0
Georgia,-0.316868055,-0.3136601,-0.642981588,-0.814002695,-0.35303502,-0.24692019,-0.504752877,-0.473898427,-0.650013214,0
Germany,0.771525584,0.718697366,-1.207751993,-1.361076434,-1.971238459,0.617869096,-0.670634309,-0.181814216,-0.369997841,0
Ghana,-0.178035083,-0.181974972,-0.021734142,-0.212221582,0.563946929,-0.177616223,-0.330530162,-0.327856321,-0.510005528,0
Gibraltar,-0.320342827,-0.316955973,-1.207751993,-1.361076434,0.024545783,-0.250240167,0.608223268,-1.262525794,-1.406054721,0
Greece,-0.298862413,-0.296581482,-0.501788987,-0.677234261,-0.35303502,-0.235995096,-0.492362115,-0.327856321,-0.510005528,0
Guadeloupe,-0.318921329,-0.315607661,-1.179513473,-1.333722747,0.510006814,-0.250222294,1.391495368,-1.496193162,-1.63006702,0
Guatemala,-0.197146334,-0.200102277,1.333714831,1.100755391,0.563946929,-0.177768147,-0.451622223,1.074147888,0.834068263,0
Guinea,-0.279593218,-0.278304366,0.543036263,0.334852157,0.510006814,-0.22739354,-0.389057964,0.28552052,0.078026756,0
Guinea-Bissau,-0.298862413,-0.296581482,-0.134688223,-0.32163633,1.15728819,-0.24382363,0.346383881,-0.765982637,-0.930028587,0
Guyana,-0.320184883,-0.316806161,1.24899927,1.01869433,0.4560667,-0.249940788,0.16399167,1.044939467,0.806066725,0
Haiti,-0.27106423,-0.270214495,0.797182946,0.581035339,0.887587617,-0.225221927,-0.306910997,0.343937362,0.13402983,0
Honduras,-0.157976167,-0.162948794,1.192522229,0.963986956,0.402126585,-0.174953092,-0.238888487,1.015731046,0.778065188,0
Hungary,-0.290333425,-0.288491611,-0.812412709,-0.978124817,0.024545783,-0.232545537,-0.418949293,-0.8536079,-1.014033199,0
Iceland,-0.307865234,-0.305120791,-1.038320872,-1.196954313,-0.245154791,-0.242831658,-0.366058583,-0.941233163,-1.098037811,0
India,2.820535986,2.662214041,1.390191871,1.155462765,-1.809418115,2.112086749,-0.637513934,2.417735255,2.122138979,0
Indonesia,-0.104748963,-0.112462004,1.390191871,1.155462765,-0.083334447,-0.015053514,-0.827815923,1.483065782,1.226089785,0
Iran,0.179708582,0.215477409,-1.123036432,0.526327965,-0.730615822,0.73280376,-0.994418637,-0.765982637,0.918072875,1
Iraq,0.061408359,0.045140674,1.333714831,1.100755391,-0.460915249,-0.057726169,-0.325885208,1.629107887,1.366097472,0
Ireland,-0.084216214,-0.092986388,-0.812412709,-0.978124817,-0.191214676,-0.137374345,-0.272072466,-0.736774216,-0.90202705,0
Isle of Man,-0.318447497,-0.315158224,-0.84065123,-1.005478504,0.887587617,-0.249534169,0.322773236,-1.350151057,-1.490059333,0
Israel,-0.144866796,-0.150514362,-1.264229034,-1.415783808,-0.622735593,-0.14638252,-0.459948536,-0.970441584,-1.126039348,1
Italy,0.712138556,0.662367892,-1.377183115,-1.525198556,-1.755478,0.822635284,-0.810086148,-0.473898427,-0.650013214,0
